Protein IDs;Majority protein IDs;Peptide counts (all);Peptide counts (razor+unique);Peptide counts (unique);Protein names;Gene names;Fasta headers;Number of proteins;Peptides;Razor + unique peptides;Unique peptides;Peptides AA3672;Peptides AA3710;Peptides AA3715;Peptides AA3864;Peptides AAA00J;Peptides AAA00N;Peptides AAA010;Peptides AAA01R;Peptides AAA022;Peptides AGA002;Peptides AGA02N;Razor + unique peptides AA3672;Razor + unique peptides AA3710;Razor + unique peptides AA3715;Razor + unique peptides AA3864;Razor + unique peptides AAA00J;Razor + unique peptides AAA00N;Razor + unique peptides AAA010;Razor + unique peptides AAA01R;Razor + unique peptides AAA022;Razor + unique peptides AGA002;Razor + unique peptides AGA02N;Unique peptides AA3672;Unique peptides AA3710;Unique peptides AA3715;Unique peptides AA3864;Unique peptides AAA00J;Unique peptides AAA00N;Unique peptides AAA010;Unique peptides AAA01R;Unique peptides AAA022;Unique peptides AGA002;Unique peptides AGA02N;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Sequence length;Sequence lengths;Fraction average;Fraction 1;Q-value;Score;Sequence coverage AA3672 [%];Sequence coverage AA3710 [%];Sequence coverage AA3715 [%];Sequence coverage AA3864 [%];Sequence coverage AAA00J [%];Sequence coverage AAA00N [%];Sequence coverage AAA010 [%];Sequence coverage AAA01R [%];Sequence coverage AAA022 [%];Sequence coverage AGA002 [%];Sequence coverage AGA02N [%];Intensity;Intensity AA3672;Intensity AA3710;Intensity AA3715;Intensity AA3864;Intensity AAA00J;Intensity AAA00N;Intensity AAA010;Intensity AAA01R;Intensity AAA022;Intensity AGA002;Intensity AGA02N
P35610;P35610;3;3;3;Sterol O-acyltransferase 1;SOAT1;>sp|P35610|SOAT1_HUMAN Sterol O-acyltransferase 1 OS=Homo sapiens GN=SOAT1 PE=1 SV=3;1;3;3;3;0;1;1;0;0;0;0;2;2;0;1;0;1;1;0;0;0;0;2;2;0;1;0;1;1;0;0;0;0;2;2;0;1;7.5;7.5;7.5;64734;550;550;1;7;0.00020812;3.8078;0;2;2.9;0;0;0;0;4.9;5.5;0;2.9;2336400;0;186060;40410;0;0;0;0;681730;737240;0;690930
"P35611;P35612";P35611;"17;1";"17;1";"17;1";Alpha-adducin;ADD1;>sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2;2;17;17;17;9;12;1;6;5;6;7;11;9;5;7;9;12;1;6;5;6;7;11;9;5;7;9;12;1;6;5;6;7;11;9;5;7;33.1;33.1;33.1;80954;737;"737;726";1;94;0;106.49;17.9;26.2;2.4;14.2;10.6;10.9;13.6;22.8;19.8;9.9;12.6;97605000;10863000;13239000;32377;9507000;2164700;1819500;8954500;15857000;5956700;15593000;13618000
P35613;P35613;8;8;8;Basigin;BSG;>sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens GN=BSG PE=1 SV=2;1;8;8;8;4;7;2;6;6;6;4;8;6;6;5;4;7;2;6;6;6;4;8;6;6;5;4;7;2;6;6;6;4;8;6;6;5;25.7;25.7;25.7;42.2;385;385;1;72;0;31.85;15.3;25.7;6;23.1;17.9;23.1;16.1;25.7;19.5;23.1;16.9;116970000;9754100;22241000;370450;16914000;3265500;6013500;4184100;20010000;5217700;18305000;10697000
P35625;P35625;4;4;4;Metalloproteinase inhibitor 3;TIMP3;>sp|P35625|TIMP3_HUMAN Metalloproteinase inhibitor 3 OS=Homo sapiens GN=TIMP3 PE=1 SV=2;1;4;4;4;1;0;0;1;3;0;0;0;1;0;0;1;0;0;1;3;0;0;0;1;0;0;1;0;0;1;3;0;0;0;1;0;0;19.4;19.4;19.4;24145;211;211;1;7;0;11451;4.3;0;0;5.7;15.2;0;0;0;5.7;0;0;2552300;0;0;0;710410;1693400;0;0;0;148410;0;0
P35637;P35637;9;9;7;RNA-binding protein FUS;FUS;>sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=1 SV=1;1;9;9;7;5;7;3;7;4;5;5;9;5;6;5;5;7;3;7;4;5;5;9;5;6;5;3;5;2;5;2;3;3;7;3;4;3;16;16;16;53425;526;526;1;102;0;40745;10.8;15.8;6.3;13.1;6.3;8.6;11.6;16;8.4;13.1;10.8;323040000;13852000;65870000;1902000;48146000;9800800;9878900;9103600;81405000;9877300;33723000;39476000
P35658;P35658;17;17;17;Nuclear pore complex protein Nup214;NUP214;>sp|P35658|NU214_HUMAN Nuclear pore complex protein Nup214 OS=Homo sapiens GN=NUP214 PE=1 SV=2;1;17;17;17;4;0;0;8;3;4;2;10;3;5;4;4;0;0;8;3;4;2;10;3;5;4;4;0;0;8;3;4;2;10;3;5;4;12.8;12.8;12.8;213.62;2090;2090;1;45;0;50558;2.7;0;0;6.6;2.1;3.4;1.5;7.7;2.6;3.5;2.8;33229000;2014900;0;0;11457000;584240;836630;506320;9726100;1129400;4017400;2956400
P35659;P35659;15;15;15;Protein DEK;DEK;>sp|P35659|DEK_HUMAN Protein DEK OS=Homo sapiens GN=DEK PE=1 SV=1;1;15;15;15;9;9;2;9;7;3;5;12;8;5;6;9;9;2;9;7;3;5;12;8;5;6;9;9;2;9;7;3;5;12;8;5;6;36;36;36;42674;375;375;1;102;0;81663;28.5;25.9;5.9;23.7;18.1;10.9;15.7;30.1;20;12.3;19.7;169110000;16788000;18005000;623520;29142000;6097400;4406700;4974700;61518000;7002600;9024200;11533000
"P35749;P12883;P13535;Q9UKX3;P13533;P12882;P11055;A7E2Y1";P35749;"131;1;1;1;1;1;1;1";"110;0;0;0;0;0;0;0";"101;0;0;0;0;0;0;0";Myosin-11;MYH11;>sp|P35749|MYH11_HUMAN Myosin-11 OS=Homo sapiens GN=MYH11 PE=1 SV=3;8;131;110;101;42;108;33;51;65;75;92;54;35;50;25;27;90;20;36;53;57;75;39;23;36;14;22;85;16;31;48;50;69;35;18;32;11;59;51.9;48.4;227.34;1972;"1972;1935;1937;1938;1939;1939;1940;1941";1;740;0;323.31;24;52.5;19;27.7;33.3;38.1;46;30.8;20.2;26.8;14.6;1286400000;33182000;533900000;9652500;95327000;65095000;60144000;226650000;65553000;13482000;162500000;20882000
P35754;P35754;7;7;7;Glutaredoxin-1;GLRX;>sp|P35754|GLRX1_HUMAN Glutaredoxin-1 OS=Homo sapiens GN=GLRX PE=1 SV=2;1;7;7;7;2;5;3;1;5;6;5;4;4;1;4;2;5;3;1;5;6;5;4;4;1;4;2;5;3;1;5;6;5;4;4;1;4;63.2;63.2;63.2;11776;106;106;1;63;0;39294;32.1;50.9;23.6;19.8;50.9;55.7;50.9;43.4;50.9;7.5;38.7;89152000;7932300;20018000;2852300;2304600;6117700;15294000;10616000;13750000;3840700;2195000;4231200
P35813;P35813;5;5;3;Protein phosphatase 1A;PPM1A;>sp|P35813|PPM1A_HUMAN Protein phosphatase 1A OS=Homo sapiens GN=PPM1A PE=1 SV=1;1;5;5;3;1;1;0;1;0;2;4;2;1;1;0;1;1;0;1;0;2;4;2;1;1;0;0;0;0;0;0;1;2;1;1;0;0;20.7;20.7;14.9;42447;382;382;1;15;0;13864;3.1;3.1;0;3.1;0;7.9;16;7.9;4.7;3.1;0;5967600;360490;300960;0;750560;0;606080;1423800;1503400;552050;470250;0
P35858;P35858;9;9;9;Insulin-like growth factor-binding protein complex acid labile subunit;IGFALS;>sp|P35858|ALS_HUMAN Insulin-like growth factor-binding protein complex acid labile subunit OS=Homo sapiens GN=IGFALS PE=1 SV=1;1;9;9;9;1;0;2;0;0;8;1;1;0;2;1;1;0;2;0;0;8;1;1;0;2;1;1;0;2;0;0;8;1;1;0;2;1;23.6;23.6;23.6;66034;605;605;1;16;0;38197;2.6;0;5;0;0;21.3;2.3;2.6;0;5;2.6;7925700;566180;0;163210;0;0;3031500;163740;2094600;0;1696800;209690
"P35914;Q8TB92";P35914;"10;1";"10;1";"10;1";Hydroxymethylglutaryl-CoA lyase, mitochondrial;HMGCL;>sp|P35914|HMGCL_HUMAN Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Homo sapiens GN=HMGCL PE=1 SV=2;2;10;10;10;4;7;2;5;7;3;6;4;8;4;5;4;7;2;5;7;3;6;4;8;4;5;4;7;2;5;7;3;6;4;8;4;5;32.3;32.3;32.3;34.36;325;"325;370";1;78;0;185.07;15.4;22.8;8.6;20.6;24.6;8.9;22.2;16.6;29.8;15.4;17.2;101630000;4579900;9474400;602600;12919000;4693200;1803200;17904000;6399900;19163000;18490000;5603900
P35998;P35998;34;34;33;26S protease regulatory subunit 7;PSMC2;>sp|P35998|PRS7_HUMAN 26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3;1;34;34;33;14;22;7;20;13;16;8;17;16;16;12;14;22;7;20;13;16;8;17;16;16;12;13;21;7;19;13;16;8;16;16;15;12;74.4;74.4;72.7;48633;433;433;1;204;0;158.69;37.9;55;19.2;54;33.9;43.4;23.3;39.5;45.7;37.6;33.3;221820000;15818000;31715000;1461500;44974000;9043800;8709500;5428900;28570000;8601600;45510000;21983000
P36222;P36222;7;7;7;Chitinase-3-like protein 1;CHI3L1;>sp|P36222|CH3L1_HUMAN Chitinase-3-like protein 1 OS=Homo sapiens GN=CHI3L1 PE=1 SV=2;1;7;7;7;1;1;0;0;1;6;0;4;0;0;0;1;1;0;0;1;6;0;4;0;0;0;1;1;0;0;1;6;0;4;0;0;0;26.9;26.9;26.9;42625;383;383;1;15;0;22639;3.7;2.1;0;0;2.1;24.8;0;12.5;0;0;0;5825200;331250;249930;0;0;93999;2174800;0;2975200;0;0;0
P36269;P36269;7;7;7;"Gamma-glutamyltransferase 5;Gamma-glutamyltransferase 5 heavy chain;Gamma-glutamyltransferase 5 light chain";GGT5;>sp|P36269|GGT5_HUMAN Gamma-glutamyltransferase 5 OS=Homo sapiens GN=GGT5 PE=1 SV=2;1;7;7;7;2;3;3;0;1;4;6;4;3;2;1;2;3;3;0;1;4;6;4;3;2;1;2;3;3;0;1;4;6;4;3;2;1;15.5;15.5;15.5;62.26;586;586;1;38;0;81384;4.6;7.2;6.8;0;2;9.7;13.3;8.5;7.2;4.6;2;17741000;444980;1553600;1923100;0;128680;1125500;5058400;1978800;2371900;2991800;163940
P36404;P36404;4;4;4;ADP-ribosylation factor-like protein 2;ARL2;>sp|P36404|ARL2_HUMAN ADP-ribosylation factor-like protein 2 OS=Homo sapiens GN=ARL2 PE=1 SV=4;1;4;4;4;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;2;1;2;0;25;25;25;20878;184;184;1;5;0;17807;0;0;0;0;0;0;0;12.5;5.4;12.5;0;1695100;0;0;0;0;0;0;0;737050;123430;834570;0
P36405;P36405;5;5;5;ADP-ribosylation factor-like protein 3;ARL3;>sp|P36405|ARL3_HUMAN ADP-ribosylation factor-like protein 3 OS=Homo sapiens GN=ARL3 PE=1 SV=2;1;5;5;5;2;1;1;1;4;1;2;5;3;1;1;2;1;1;1;4;1;2;5;3;1;1;2;1;1;1;4;1;2;5;3;1;1;40.7;40.7;40.7;20455;182;182;1;23;0;19.01;18.1;6;6;6;30.2;12.1;18.1;40.7;23.6;6;6;13836000;3302700;151080;0;533370;993710;795290;862830;5703400;1323800;0;169800
P36507;P36507;13;7;7;Dual specificity mitogen-activated protein kinase kinase 2;MAP2K2;>sp|P36507|MP2K2_HUMAN Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens GN=MAP2K2 PE=1 SV=1;1;13;7;7;5;5;1;5;2;1;1;7;5;3;3;2;2;0;3;0;1;1;4;3;2;1;2;2;0;3;0;1;1;4;3;2;1;42.5;26.5;26.5;44424;400;400;1;20;0;31571;20.2;15;3;23.5;5.2;3.5;1.8;19;17.5;17.8;7;16664000;770240;1138800;0;5642200;0;227480;320100;1707000;700900;5700700;456720
P36542;P36542;12;12;12;ATP synthase subunit gamma, mitochondrial;ATP5C1;>sp|P36542|ATPG_HUMAN ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1;1;12;12;12;9;10;4;8;8;8;8;10;9;7;4;9;10;4;8;8;8;8;10;9;7;4;9;10;4;8;8;8;8;10;9;7;4;37.2;37.2;37.2;32996;298;298;1;174;0;211.66;31.5;30.9;15.4;31.5;28.9;29.5;31.5;34.6;31.5;24.8;13.4;372800000;39460000;41268000;4657400;50888000;31912000;13297000;42872000;50275000;31871000;39014000;27287000
"P36543;Q96A05";P36543;"11;3";"11;3";"11;3";V-type proton ATPase subunit E 1;ATP6V1E1;>sp|P36543|VATE1_HUMAN V-type proton ATPase subunit E 1 OS=Homo sapiens GN=ATP6V1E1 PE=1 SV=1;2;11;11;11;5;7;2;3;6;6;2;6;4;3;4;5;7;2;3;6;6;2;6;4;3;4;5;7;2;3;6;6;2;6;4;3;4;40.3;40.3;40.3;26145;226;"226;226";1;66;0;61035;19;31.4;9.7;14.2;21.7;24.8;10.6;25.7;19.9;15.5;18.1;79549000;7316000;14353000;1188800;9635100;5393000;3336600;2394000;11498000;5028400;9339700;10066000
P36551;P36551;15;15;15;Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial;CPOX;>sp|P36551|HEM6_HUMAN Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens GN=CPOX PE=1 SV=3;1;15;15;15;8;6;5;9;6;4;3;8;9;3;6;8;6;5;9;6;4;3;8;9;3;6;8;6;5;9;6;4;3;8;9;3;6;43;43;43;50151;454;454;1;77;0;52.13;21.6;15.9;11.5;26;17.2;10.8;8.1;24.2;27.8;6.8;15.2;95257000;8497200;6316800;3859800;25745000;3765100;7794000;1459500;12206000;9209900;7193100;9210400
P36578;P36578;32;32;32;60S ribosomal protein L4;RPL4;>sp|P36578|RL4_HUMAN 60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5;1;32;32;32;19;26;16;25;20;23;21;23;19;20;21;19;26;16;25;20;23;21;23;19;20;21;19;26;16;25;20;23;21;23;19;20;21;56;56;56;47697;427;427;1;577;0;137.25;42.9;52.5;39.1;52.7;44.7;44.7;47.8;48.7;41;44.3;48.5;2594200000;191710000;366680000;26471000;750480000;71756000;98053000;149030000;385400000;83120000;229940000;241570000
P36639;P36639;1;1;1;7,8-dihydro-8-oxoguanine triphosphatase;NUDT1;>sp|P36639|8ODP_HUMAN 7,8-dihydro-8-oxoguanine triphosphatase OS=Homo sapiens GN=NUDT1 PE=1 SV=3;1;1;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;0;6.6;6.6;6.6;22519;197;197;1;5;0;5.5246;6.6;0;6.6;0;0;0;0;6.6;0;6.6;0;2101600;734530;0;40276;0;0;0;0;530220;0;796530;0
P36776;P36776;33;33;33;Lon protease homolog, mitochondrial;LONP1;>sp|P36776|LONM_HUMAN Lon protease homolog, mitochondrial OS=Homo sapiens GN=LONP1 PE=1 SV=2;1;33;33;33;27;14;4;12;16;8;10;16;24;16;11;27;14;4;12;16;8;10;16;24;16;11;27;14;4;12;16;8;10;16;24;16;11;39;39;39;106.49;959;959;1;197;0;188.96;33.9;17.4;4.9;13.6;16.1;9.6;13.7;19.5;29.9;22;12.8;263770000;48434000;21810000;736810;34577000;14990000;5401300;5776000;26346000;24587000;65721000;15389000
P36871;P36871;28;28;28;Phosphoglucomutase-1;PGM1;>sp|P36871|PGM1_HUMAN Phosphoglucomutase-1 OS=Homo sapiens GN=PGM1 PE=1 SV=3;1;28;28;28;12;16;6;11;14;19;17;11;7;13;9;12;16;6;11;14;19;17;11;7;13;9;12;16;6;11;14;19;17;11;7;13;9;56.6;56.6;56.6;61448;562;562;1;178;0;140.61;26.5;38.3;11.7;27.6;29.2;39.5;35.4;24;16.2;26;18.9;203720000;14939000;29877000;2242500;21043000;7420500;21347000;31600000;15748000;2036400;47511000;9960100
P36873;P36873;19;2;2;Serine/threonine-protein phosphatase PP1-gamma catalytic subunit;PPP1CC;>sp|P36873|PP1G_HUMAN Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens GN=PPP1CC PE=1 SV=1;1;19;2;2;11;15;8;15;13;13;13;15;12;8;8;2;2;1;1;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;2;1;2;54.8;7.4;7.4;36983;323;323;1;43;0;56499;45.5;49.2;25.1;50.8;43;45.8;44;49.5;43.7;32.5;27.6;111560000;17577000;14294000;1996900;15957000;3270300;6443900;2709400;9814900;2130100;25006000;12358000
P36915;P36915;13;13;13;Guanine nucleotide-binding protein-like 1;GNL1;>sp|P36915|GNL1_HUMAN Guanine nucleotide-binding protein-like 1 OS=Homo sapiens GN=GNL1 PE=1 SV=2;1;13;13;13;6;4;1;3;3;3;1;10;3;5;1;6;4;1;3;3;3;1;10;3;5;1;6;4;1;3;3;3;1;10;3;5;1;26;26;26;68.66;607;607;1;44;0;46483;13;9.7;1.6;6.6;6.6;7.4;2;21.7;6.6;10.4;2;25220000;4120700;1299000;25036;3335500;585620;621230;385450;9182700;1010300;4306000;348750
P36952;P36952;23;23;23;Serpin B5;SERPINB5;>sp|P36952|SPB5_HUMAN Serpin B5 OS=Homo sapiens GN=SERPINB5 PE=1 SV=2;1;23;23;23;8;16;11;15;9;10;1;17;20;13;16;8;16;11;15;9;10;1;17;20;13;16;8;16;11;15;9;10;1;17;20;13;16;76.5;76.5;76.5;42.1;375;375;1;239;0;170.89;28.5;54.4;38.1;54.4;34.1;39.7;2.4;57.1;71.5;46.4;52.8;631500000;14677000;63475000;26149000;109450000;8425900;16785000;175730;105330000;59858000;95446000;131730000
P36954;P36954;3;3;3;DNA-directed RNA polymerase II subunit RPB9;POLR2I;>sp|P36954|RPB9_HUMAN DNA-directed RNA polymerase II subunit RPB9 OS=Homo sapiens GN=POLR2I PE=1 SV=1;1;3;3;3;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;36;36;36;14523;125;125;1;4;0.00021617;4.4979;30.4;0;0;0;0;0;0;0;24;0;0;1183100;869970;0;0;0;0;0;0;0;313100;0;0
"P36955;CON__Q95121";P36955;"15;4";"15;4";"15;4";Pigment epithelium-derived factor;SERPINF1;>sp|P36955|PEDF_HUMAN Pigment epithelium-derived factor OS=Homo sapiens GN=SERPINF1 PE=1 SV=4;2;15;15;15;8;7;11;7;10;13;7;7;12;6;4;8;7;11;7;10;13;7;7;12;6;4;8;7;11;7;10;13;7;7;12;6;4;42.3;42.3;42.3;46312;418;"418;416";1;168;0;98427;26.8;20.3;28;18.7;25.8;33.3;20.6;25.6;36.1;16.5;11.2;198410000;7991100;9570100;34213000;29976000;8159200;56338000;9369800;22601000;5326000;12425000;2440800
P36957;P36957;17;17;17;Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial;DLST;>sp|P36957|ODO2_HUMAN Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLST PE=1 SV=4;1;17;17;17;8;8;5;9;10;8;9;8;10;6;8;8;8;5;9;10;8;9;8;10;6;8;8;8;5;9;10;8;9;8;10;6;8;43.7;43.7;43.7;48755;453;453;1;148;0;120.15;22.1;19.4;12.1;23;24.3;21.2;24.5;21;30.5;16.8;21;370870000;15769000;49342000;3771800;28150000;20587000;12772000;20735000;46904000;33365000;60195000;79282000
P36969;P36969;5;5;5;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial;GPX4;>sp|P36969|GPX4_HUMAN Phospholipid hydroperoxide glutathione peroxidase, mitochondrial OS=Homo sapiens GN=GPX4 PE=1 SV=3;1;5;5;5;0;2;0;4;2;1;5;5;3;0;1;0;2;0;4;2;1;5;5;3;0;1;0;2;0;4;2;1;5;5;3;0;1;32;32;32;22174;197;197;1;24;0;13151;0;15.7;0;24.9;15.2;7.1;32;32;18.8;0;9.6;21668000;0;1024500;0;5641800;359190;442050;4058900;6513300;3014100;0;614320
P36980;P36980;5;3;3;Complement factor H-related protein 2;CFHR2;>sp|P36980|FHR2_HUMAN Complement factor H-related protein 2 OS=Homo sapiens GN=CFHR2 PE=1 SV=1;1;5;3;3;1;0;0;0;1;3;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;20.7;11.9;11.9;30.65;270;270;1;3;0;5.6251;3.7;0;0;0;4.1;12.2;0;0;4.8;0;0;927380;249940;0;0;0;0;677440;0;0;0;0;0
P37059;P37059;13;13;13;Estradiol 17-beta-dehydrogenase 2;HSD17B2;>sp|P37059|DHB2_HUMAN Estradiol 17-beta-dehydrogenase 2 OS=Homo sapiens GN=HSD17B2 PE=1 SV=1;1;13;13;13;0;7;0;0;0;0;6;0;13;1;1;0;7;0;0;0;0;6;0;13;1;1;0;7;0;0;0;0;6;0;13;1;1;39.3;39.3;39.3;42785;387;387;1;38;0;103.66;0;25.6;0;0;0;0;19.9;0;39.3;2.1;3.1;30662000;0;7363900;0;0;0;0;3903800;0;19071000;264740;59014
P37108;P37108;7;7;7;Signal recognition particle 14 kDa protein;SRP14;>sp|P37108|SRP14_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens GN=SRP14 PE=1 SV=2;1;7;7;7;5;6;3;6;6;3;4;6;3;5;6;5;6;3;6;6;3;4;6;3;5;6;5;6;3;6;6;3;4;6;3;5;6;43.4;43.4;43.4;14.57;136;136;1;86;0;213.77;40.4;43.4;23.5;43.4;40.4;27.9;30.9;43.4;25;40.4;40.4;407740000;45829000;59031000;5750300;110800000;12482000;26533000;17592000;19020000;8234100;60041000;42428000
P37198;P37198;10;10;10;Nuclear pore glycoprotein p62;NUP62;>sp|P37198|NUP62_HUMAN Nuclear pore glycoprotein p62 OS=Homo sapiens GN=NUP62 PE=1 SV=3;1;10;10;10;4;3;2;6;4;3;2;6;7;4;5;4;3;2;6;4;3;2;6;7;4;5;4;3;2;6;4;3;2;6;7;4;5;27.6;27.6;27.6;53254;522;522;1;57;0;84594;12.1;7.5;5.4;18.8;12.1;10;5.4;16.1;22.6;12.1;14.4;48622000;5390900;2267500;45582;11784000;986390;657280;671350;9161300;4596500;7835700;5226300
"P37235;P84074";"P37235;P84074";"8;4";"8;4";"6;2";"Hippocalcin-like protein 1;Neuron-specific calcium-binding protein hippocalcin";"HPCAL1;HPCA";">sp|P37235|HPCL1_HUMAN Hippocalcin-like protein 1 OS=Homo sapiens GN=HPCAL1 PE=1 SV=3;>sp|P84074|HPCA_HUMAN Neuron-specific calcium-binding protein hippocalcin OS=Homo sapiens GN=HPCA PE=2 SV=2";2;8;8;6;0;2;3;2;7;4;2;3;6;1;3;0;2;3;2;7;4;2;3;6;1;3;0;1;2;1;5;3;1;2;4;1;2;46.6;46.6;38.9;22313;193;"193;193";1;43;0;29.32;0;10.9;17.1;10.9;40.4;23.3;10.9;17.1;33.7;6.7;16.1;38064000;0;1185000;317240;1935000;6793000;3814900;3630700;7029600;4137900;1520000;7700400
P37268;P37268;9;9;9;Squalene synthase;FDFT1;>sp|P37268|FDFT_HUMAN Squalene synthase OS=Homo sapiens GN=FDFT1 PE=1 SV=1;1;9;9;9;5;7;1;5;0;1;0;3;0;1;4;5;7;1;5;0;1;0;3;0;1;4;5;7;1;5;0;1;0;3;0;1;4;25.2;25.2;25.2;48115;417;417;1;28;0;31857;15.6;20.9;2.4;15.3;0;3.4;0;10.1;0;4.3;11.8;28398000;8860100;5825500;27164;10723000;0;182800;0;856710;0;359610;1562600
P37802;P37802;23;23;22;Transgelin-2;TAGLN2;>sp|P37802|TAGL2_HUMAN Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3;1;23;23;22;15;17;13;17;13;21;15;17;14;14;12;15;17;13;17;13;21;15;17;14;14;12;14;16;13;16;13;20;14;16;13;13;12;91;91;83.9;22391;199;199;1;714;0;323.31;85.4;79.4;67.8;88.9;68.8;91;79.4;79.9;72.9;75.9;64.3;2996600000;386060000;438210000;72399000;592200000;77487000;277700000;115620000;382630000;187900000;278110000;188320000
P37837;P37837;22;22;22;Transaldolase;TALDO1;>sp|P37837|TALDO_HUMAN Transaldolase OS=Homo sapiens GN=TALDO1 PE=1 SV=2;1;22;22;22;11;13;8;16;13;11;10;11;10;8;13;11;13;8;16;13;11;10;11;10;8;13;11;13;8;16;13;11;10;11;10;8;13;54.3;54.3;54.3;37.54;337;337;1;223;0;73933;29.1;35.9;26.4;42.1;34.4;36.5;32.9;34.4;31.8;25.8;34.7;703710000;39726000;101310000;17296000;149380000;34242000;52239000;54301000;85963000;24066000;73823000;71362000
P37840;P37840;2;2;2;Alpha-synuclein;SNCA;>sp|P37840|SYUA_HUMAN Alpha-synuclein OS=Homo sapiens GN=SNCA PE=1 SV=1;1;2;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;27.1;27.1;27.1;14.46;140;140;1;4;0;14237;0;0;0;0;0;0;0;0;0;27.1;27.1;8179900;0;0;0;0;0;0;0;0;0;5094800;3085000
P38117;P38117;19;19;19;Electron transfer flavoprotein subunit beta;ETFB;>sp|P38117|ETFB_HUMAN Electron transfer flavoprotein subunit beta OS=Homo sapiens GN=ETFB PE=1 SV=3;1;19;19;19;11;14;6;6;13;11;9;10;12;11;10;11;14;6;6;13;11;9;10;12;11;10;11;14;6;6;13;11;9;10;12;11;10;63.5;63.5;63.5;27843;255;255;1;185;0;159.56;42.4;56.1;23.1;29.4;47.8;51.8;38.4;42;47.8;37.3;32.9;399810000;32956000;66316000;6952900;14978000;45626000;16607000;26087000;33366000;34653000;68253000;54014000
"P38159;Q75N03";P38159;"24;1";"24;1";"7;0";"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed";RBMX;>sp|P38159|RBMX_HUMAN RNA-binding motif protein, X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3;2;24;24;7;13;15;7;11;16;12;8;18;6;7;15;13;15;7;11;16;12;8;18;6;7;15;4;6;3;5;5;4;3;6;2;3;4;48.6;48.6;15.6;42331;391;"391;491";1;203;0;139.55;31.7;37.3;17.9;26.6;36.1;29.2;22.8;39.1;19.2;17.9;32;535330000;40937000;63995000;5151700;82734000;18435000;16612000;22037000;146810000;16223000;48135000;74258000
P38432;P38432;2;2;2;Coilin;COIL;>sp|P38432|COIL_HUMAN Coilin OS=Homo sapiens GN=COIL PE=1 SV=1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4.7;4.7;4.7;62608;576;576;1;3;0;5969;0;0;0;0;0;0;0;0;0;0;4.7;1120700;0;0;0;0;0;0;0;0;0;0;1120700
P38435;P38435;1;1;1;Vitamin K-dependent gamma-carboxylase;GGCX;>sp|P38435|VKGC_HUMAN Vitamin K-dependent gamma-carboxylase OS=Homo sapiens GN=GGCX PE=1 SV=2;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1.7;1.7;1.7;87.56;758;758;1;2;0.0080386;1.8425;0;1.7;0;0;0;0;0;1.7;0;0;0;674210;0;385950;0;0;0;0;0;288260;0;0;0
